,name,rating,reviews,company_type,Head_Quarters,Company_Age
0,TCS,3.8,(60.4k Reviews),Public,"Mumbai,Maharashtra + 280 more",55 years old
1,Accenture,4.1,(38.7k Reviews),Public,Dublin + 139 more,34 years old
2,Cognizant,3.9,(35.2k Reviews),Private,Teaneck. New Jersey. + 109 more,29 years old
3,ICICI Bank,4.0,(28.7k Reviews),Public,"Mumbai,Maharashtra + 1169 more",29 years old
4,Wipro,3.9,(28.7k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 235 more",78 years old
5,HDFC Bank,3.9,(28k Reviews),Public,"Mumbai,Maharashtra + 1392 more",29 years old
6,Infosys,3.9,(26.4k Reviews),Public,"Bengaluru/Bangalore,Karnataka + 134 more",42 years old
7,Capgemini,3.9,(24.4k Reviews),Public,Paris + 83 more,56 years old
8,Tech Mahindra,3.7,(23k Reviews),Public,"Pune,Maharashtra + 221 more",37 years old
9,Genpact,4.0,(22.3k Reviews),Public,"New York,New York + 76 more",26 years old
10,HCLTech,3.8,(22k Reviews),Public,"Noida,Uttar Pradesh + 147 more",32 years old
11,Axis Bank,3.9,(18.9k Reviews),Public,"Mumbai,Maharashtra + 1200 more",30 years old
12,Concentrix Corpo...,4.0,(17.7k Reviews),Public,"Fremont,California + 79 more",40 years old
13,IBM,4.1,(17.5k Reviews),Public,"Armonk,New York + 127 more",112 years old
14,Reliance Jio,4.0,(17k Reviews),Public,"Navi Mumbai,Maharashtra + 1069 more",16 years old
15,Amazon,4.2,(17k Reviews),Public,"Seattle,Washington + 385 more",29 years old
16,Larsen & Toubro ...,4.0,(16.2k Reviews),Public,"Mumbai,Maharashtra + 563 more",85 years old
17,HDB Financial Se...,4.0,(15.2k Reviews),Private,"Ahmedabad,Gujrat + 871 more",16 years old
18,Reliance Retail,4.0,(14.5k Reviews),Private,"Navi Mumbai,Maharashtra + 851 more",17 years old
19,Teleperformance,3.6,(14.2k Reviews),Private,Paris + 130 more,45 years old
20,Vodafone Idea,4.2,(14k Reviews),Public,"Gandhinagar,Gujrat + 592 more",5 years old
21,Deloitte,4.0,(11.9k Reviews),Private,"London,United Kingdom + 138 more",178 years old
22,Kotak Mahindra B...,3.8,(11.8k Reviews),Public,"Mumbai,Maharashtra + 502 more",20 years old
23,BYJU'S,3.2,(11.6k Reviews),Private,"Bangalore,Karnataka + 282 more",12 years old
24,Reliance Industr...,4.0,(11.2k Reviews),Public,"Navi Mumbai,Maharashtra + 560 more",46 years old
25,Bharti Airtel,4.0,(10.4k Reviews),Public,"Gurgaon/Gurugram,Haryana + 580 more",28 years old
26,Tata Motors,4.2,(9.7k Reviews),Public,"Pune,Maharashtra + 404 more",78 years old
27,Flipkart,4.1,(8.4k Reviews),Public,"Bangalore,Karnataka + 485 more",16 years old
28,Ernst & Young,3.7,(8.1k Reviews),Private,London + 81 more,21 years old
29,WNS,3.6,(8.1k Reviews),Private,"Mumbai,Maharashtra + 25 more",27 years old
30,IndusInd Bank,3.8,(7.7k Reviews),Public,"Gurgaon/Gurugram,Haryana + 617 more",29 years old
31,Mahindra & Mahin...,4.2,(7.6k Reviews),Public,"Mumbai,Maharashtra + 431 more",78 years old
32,DXC Technology,3.8,(7k Reviews),Public,"Minato,Tokyo + 57 more",6 years old
33,Infosys BPM,3.9,(6.9k Reviews),"Bangalore/Bengaluru,Karnataka + 52 more",21 years old,10k-50k Employees (India)
34,IDFC FIRST Bank,4.0,(6.5k Reviews),Public,"Mumbai,Maharashtra + 481 more",5 years old
35,Maruti Suzuki,4.1,(6.5k Reviews),Public,"New Delhi,Delhi + 389 more",40 years old
36,Hinduja Global S...,4.0,(6.2k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 84 more",23 years old
37,Bajaj Finserv,4.0,(6.2k Reviews),Public,"Pune,Maharashtra + 760 more",16 years old
38,HSBC Group,4.1,(6.1k Reviews),Private,"Pune,Maharashtra + 52 more",21 years old
39,Conneqt Business...,3.7,(6k Reviews),Private,"Mumbai,Maharashtra + 178 more",21 years old
40,Ericsson,4.3,(5.8k Reviews),Private,"Stockholm,Stockholm County + 138 more",147 years old
